Catégorie : Toutes catégories

Semaine,C: (Dans tous les pays),Python: (Dans tous les pays),Java: (Dans tous les pays),C++: (Dans tous les pays),JavaScript: (Dans tous les pays)
2017-12-31,19,35,52,15,37
2018-01-07,21,45,64,19,46
2018-01-14,22,48,66,20,47
2018-01-21,22,46,64,20,45
2018-01-28,22,52,68,20,50
2018-02-04,23,51,71,21,49
2018-02-11,24,47,63,19,47
2018-02-18,23,48,65,20,48
2018-02-25,22,48,64,21,47
2018-03-04,23,49,66,21,48
2018-03-11,23,50,65,21,51
2018-03-18,23,49,68,21,48
2018-03-25,22,48,67,20,48
2018-04-01,22,45,63,20,46
2018-04-08,23,50,64,18,47
2018-04-15,23,52,63,21,49
2018-04-22,23,50,65,20,48
2018-04-29,20,45,56,18,42
2018-05-06,21,46,62,19,49
2018-05-13,22,49,62,19,46
2018-05-20,21,47,60,18,48
2018-05-27,21,48,58,18,45
2018-06-03,20,46,59,18,48
2018-06-10,18,48,59,16,46
2018-06-17,20,48,58,16,46
2018-06-24,19,46,55,15,45
2018-07-01,19,43,55,15,43
2018-07-08,19,49,56,16,48
2018-07-15,20,46,57,16,47
2018-07-22,21,49,62,16,47
2018-07-29,21,48,57,16,48
2018-08-05,20,47,57,17,45
2018-08-12,19,48,53,15,42
2018-08-19,21,48,58,16,42
2018-08-26,23,48,58,17,44
2018-09-02,22,49,62,18,43
2018-09-09,22,51,59,19,43
2018-09-16,24,53,62,22,47
2018-09-23,24,53,65,20,45
2018-09-30,24,54,62,21,44
2018-10-07,24,55,63,21,46
2018-10-14,22,55,59,22,45
2018-10-21,24,56,65,21,45
2018-10-28,24,55,58,19,44
2018-11-04,21,52,57,19,41
2018-11-11,25,58,59,21,44
2018-11-18,23,52,58,20,43
2018-11-25,23,55,60,20,46
2018-12-02,24,55,61,21,45
2018-12-09,22,52,57,19,44
2018-12-16,21,48,52,17,41
2018-12-23,17,34,40,12,31
2018-12-30,16,35,38,12,31
2019-01-06,20,52,52,17,42
2019-01-13,20,49,55,17,41
2019-01-20,20,49,55,17,42
2019-01-27,22,52,58,18,44
2019-02-03,23,53,56,18,44
2019-02-10,23,56,56,18,45
2019-02-17,22,58,57,19,47
2019-02-24,22,55,57,19,44
2019-03-03,22,54,57,18,42
2019-03-10,22,56,58,19,45
2019-03-17,21,55,53,18,46
2019-03-24,22,55,56,19,45
2019-03-31,21,59,57,18,45
2019-04-07,21,57,57,19,43
2019-04-14,20,50,54,17,42
2019-04-21,20,54,55,17,41
2019-04-28,19,49,48,15,37
2019-05-05,19,56,53,16,42
2019-05-12,20,57,57,17,45
2019-05-19,19,57,57,17,46
2019-05-26,19,55,53,16,44
2019-06-02,18,55,50,15,43
2019-06-09,19,56,54,16,44
2019-06-16,20,58,53,16,45
2019-06-23,20,57,54,16,45
2019-06-30,20,55,52,16,43
2019-07-07,20,60,53,17,47
2019-07-14,19,59,52,15,47
2019-07-21,18,57,52,14,44
2019-07-28,20,57,52,15,43
2019-08-04,18,55,51,15,46
2019-08-11,19,55,49,15,42
2019-08-18,21,60,57,17,45
2019-08-25,22,57,53,17,44
2019-09-01,21,59,54,18,43
2019-09-08,22,62,57,19,43
2019-09-15,23,65,57,21,45
2019-09-22,24,63,62,20,46
2019-09-29,22,60,55,19,43
2019-10-06,21,66,56,21,44
2019-10-13,23,65,57,21,45
2019-10-20,21,63,55,20,42
2019-10-27,20,64,51,19,40
2019-11-03,22,64,57,20,45
2019-11-10,22,65,56,20,44
2019-11-17,24,66,56,20,45
2019-11-24,21,56,50,19,42
2019-12-01,22,65,54,19,43
2019-12-08,21,59,51,18,43
2019-12-15,20,58,50,17,42
2019-12-22,16,39,38,12,29
2019-12-29,15,41,36,11,29
2020-01-05,19,56,49,16,41
2020-01-12,18,63,50,16,41
2020-01-19,20,60,52,17,43
2020-01-26,20,62,52,17,43
2020-02-02,20,64,53,18,44
2020-02-09,20,67,53,18,46
2020-02-16,20,66,54,19,46
2020-02-23,21,66,55,19,45
2020-03-01,20,65,51,20,45
2020-03-08,19,60,50,18,43
2020-03-15,17,54,45,15,38
2020-03-22,17,57,45,16,39
2020-03-29,18,60,47,17,40
2020-04-05,17,63,47,17,42
2020-04-12,18,65,47,17,40
2020-04-19,18,65,51,17,43
2020-04-26,18,64,47,17,41
2020-05-03,18,68,49,17,42
2020-05-10,18,64,46,17,41
2020-05-17,18,63,44,16,42
2020-05-24,18,62,46,16,42
2020-05-31,18,61,45,16,43
2020-06-07,18,62,44,15,43
2020-06-14,18,62,46,15,44
2020-06-21,17,62,46,15,42
2020-06-28,16,58,43,14,39
2020-07-05,17,62,45,14,43
2020-07-12,17,63,46,15,42
2020-07-19,17,62,46,14,45
2020-07-26,16,61,42,14,42
2020-08-02,16,59,44,14,43
2020-08-09,15,56,40,14,39
2020-08-16,17,59,43,14,40
2020-08-23,18,58,43,15,41
2020-08-30,18,58,45,15,42
2020-09-06,19,65,44,18,42
2020-09-13,20,64,46,17,40
2020-09-20,20,64,47,17,40
2020-09-27,19,56,43,16,36
2020-10-04,20,60,43,17,35
2020-10-11,18,52,39,14,33
2020-10-18,19,52,41,16,33
2020-10-25,17,51,38,15,33
2020-11-01,17,46,37,14,28
2020-11-08,18,51,38,14,31
2020-11-15,18,52,40,16,32
2020-11-22,18,47,38,14,30
2020-11-29,18,50,38,15,31
2020-12-06,18,50,39,15,32
2020-12-13,18,50,37,15,31
2020-12-20,16,40,32,12,26
2020-12-27,15,38,26,10,24
2021-01-03,18,45,33,12,28
2021-01-10,17,48,36,13,32
2021-01-17,17,51,39,14,32
2021-01-24,17,48,39,14,32
2021-01-31,18,53,39,15,31
2021-02-07,17,50,38,14,32
2021-02-14,18,50,39,14,32
2021-02-21,18,53,39,15,33
2021-02-28,18,54,42,16,34
2021-03-07,18,53,41,15,33
2021-03-14,19,53,42,16,34
2021-03-21,18,54,40,15,33
2021-03-28,17,51,37,14,31
2021-04-04,18,51,41,14,32
2021-04-11,18,51,38,15,33
2021-04-18,17,58,39,14,33
2021-04-25,18,54,39,14,33
2021-05-02,17,50,37,13,31
2021-05-09,16,49,37,13,31
2021-05-16,17,54,40,14,34
2021-05-23,18,50,38,13,33
2021-05-30,17,50,39,14,33
2021-06-06,18,52,38,14,33
2021-06-13,17,51,39,14,34
2021-06-20,16,51,38,13,34
2021-06-27,16,50,37,12,33
2021-07-04,16,48,37,12,33
2021-07-11,16,48,37,13,34
2021-07-18,16,50,36,11,32
2021-07-25,17,48,35,12,32
2021-08-01,16,49,36,12,33
2021-08-08,15,46,35,12,30
2021-08-15,15,48,35,12,33
2021-08-22,17,47,36,12,32
2021-08-29,17,51,38,14,34
2021-09-05,17,54,39,15,33
2021-09-12,19,58,42,16,35
2021-09-19,19,58,41,16,35
2021-09-26,19,59,41,16,34
2021-10-03,21,60,41,17,34
2021-10-10,20,62,40,17,34
2021-10-17,20,61,44,18,38
2021-10-24,21,62,42,17,36
2021-10-31,19,57,38,15,33
2021-11-07,21,63,43,17,38
2021-11-14,21,66,43,18,37
2021-11-21,20,57,43,16,36
2021-11-28,21,62,41,17,37
2021-12-05,22,61,43,18,36
2021-12-12,21,60,47,17,36
2021-12-19,18,52,38,15,35
2021-12-26,17,45,31,12,29
2022-01-02,21,67,44,18,43
2022-01-09,22,71,49,20,49
